Chainage ID,Chainage Start (km),Chainage End (km),Section,Section Name,Station,Geometry Type,Level Crossing,IRJ,Turnout,Bridge,Fixed Asset?, WZ Level Crossing   , WZ IRJ , WZ Turnout , WZ Bridge , Asset Warning Zone? ,GBFI Max Avg,GBFI Avg of Avg,# Reasonably Fouled,# Fouled,# Highly Fouled,Fouled Zone?,Ballast Centre (m),Ballast <250mm?,Open TSR?,TSR Open Days,TSR History,2025,2024,2023,2022,TQI Count,TQI Max Value, TQI Score , TQI Trend ,TQI Status,SF Accel West,SF Accel East,Suspension Travel,Rock,Bounce,DTF S1 (Count),DTF S2 (Count),DTF S3 (Count),DTF Worst Case ,Getting Worse?,Plainline Treatment,PL Treatment Override,Level Crossing Treatment,IRJ Treatment,Turnout Treatment,Bridge TrackTreatment,Problem Zone,Problem Zone Group #,Problem Zone Length
CHAIN-EML-S-03659-E-03660-MAINLINE,365.9000000000147,366.0000000000147,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,11.2,10.023809523809524,0,0,0,No,0.2082,Yes,No,0.0,No,0,0,0,0,2,26.2725,0.52545,Rising,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03660-E-03661-MAINLINE,366.0000000000147,366.10000000001475,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,16.1,12.204761904761908,0,0,0,No,0.21969999999999973,Yes,No,0.0,No,0,0,0,0,2,29.604,0.5920799999999999,Peak,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03661-E-03662-MAINLINE,366.10000000001475,366.20000000001477,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,15.2,13.047619047619046,0,0,0,No,0.19449999999999995,Yes,No,0.0,No,0,0,0,0,2,29.604,0.5920799999999999,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03662-E-03663-MAINLINE,366.20000000001477,366.3000000000148,Section EL12,Duck,,Sharp Curve,0,0,0,0,No,0,0,0,0,No,18.4,13.119047619047622,0,0,0,No,0.19049999999999973,Yes,No,0.0,No,0,0,0,0,2,24.9525,0.49905,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03663-E-03664-MAINLINE,366.3000000000148,366.4000000000148,Section EL12,Duck,,Sharp Curve,0,0,0,0,No,0,0,0,0,No,12.8,11.061904761904762,0,0,0,No,0.2194000000000002,Yes,No,0.0,No,0,0,0,0,2,23.7525,0.47505000000000003,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03664-E-03665-MAINLINE,366.4000000000148,366.50000000001484,Section EL12,Duck,,Sharp Curve,0,0,0,0,No,0,0,0,0,No,12.4,10.980952380952381,0,0,0,No,0.2230999999999999,Yes,No,0.0,No,0,0,0,0,2,29.0355,0.58071,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03665-E-03666-MAINLINE,366.50000000001484,366.60000000001486,Section EL12,Duck,,Sharp Curve,0,0,0,0,No,0,0,0,0,No,11.3,10.1,0,0,0,No,0.24270000000000042,Yes,No,0.0,No,0,0,0,0,2,29.0355,0.58071,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03666-E-03667-MAINLINE,366.60000000001486,366.7000000000149,Section EL12,Duck,,Sharp Curve,0,0,0,0,No,0,0,0,0,No,13.1,11.614285714285714,0,0,0,No,0.24500000000000044,Yes,No,0.0,No,0,0,0,0,2,21.459,0.42918,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03667-E-03668-MAINLINE,366.7000000000149,366.8000000000149,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.7,11.047619047619046,0,0,0,No,0.2251000000000003,Yes,No,0.0,No,0,0,0,0,2,24.618,0.49235999999999996,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03668-E-03669-MAINLINE,366.8000000000149,366.9000000000149,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,15.5,12.047619047619046,0,0,0,No,0.26409999999999983,No,No,0.0,No,0,0,0,0,2,24.618,0.49235999999999996,,Poor,0,0,0,0,0,0,0,0,,0,Tamp Only,Tamp Only,No treatment,No treatment,No treatment,No treatment,1,103.0,1400.0
CHAIN-EML-S-03669-E-03670-MAINLINE,366.9000000000149,367.00000000001495,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.4,11.02857142857143,0,0,0,No,0.22829999999999978,Yes,No,0.0,No,0,0,0,0,2,19.062,0.38124,,Satisfactory,0,0,0,0,0,0,0,0,,0,No Treatment,No Treatment,No treatment,No treatment,No treatment,No treatment,0,,
CHAIN-EML-S-03670-E-03671-MAINLINE,367.00000000001495,367.100000000015,Section EL12,Duck,,Tangent,0,0,0,0,No,0,0,0,0,No,12.6,11.685714285714285,0,0,0,No,0.22119999999999962,Yes,No,0.0,No,0,0,0,0,2,20.4915,0.40982999999999997,,Poor,0,0,0,0,0,0,0,0,,0,Lift & Tamp,Lift & Tamp,No treatment,No treatment,No treatment,No treatment,1,104.0,1700.0
