Section,Order,Curve ID,Track,Type,Asset Name,Start Chainage (km),TS (m),SC (m),CS (m),ST (m),End Chainage (km),Curve Length (m) ,Radius (m),Classification,Hand,Superelevation Design (mm),Track Gradient (%)
TUL,1,,,Tangent,CB_TG_001_0.000,0,,,,,-2.051,2051,,Tangent,,,0
TUL,2,ML1,,Curve,CB_CV_001_2.051,-2.051,-,-,-,-,-0.129,1922,-1000,Sharp Curve,LH,0,0
TUL,3,,,Tangent,CB_TG_002_0.128,-0.128,,,,,0.135,263,,Tangent,,,0
TUL,4,ML2,,Curve,CB_CV_002_0.136,0.136,-,-,-,-,1.848,1712,-660,Sharp Curve,LH,0,0
TUL,5,,,Tangent,CB_TG_003_1.849,1.849,,,,,2.688,839,,Tangent,,,0
TUL,6,ML3,,Curve,CB_CV_003_2.689,2.689,-,-,-,-,4.034,1345,1000,Sharp Curve,RH,0,0
TUL,7,,,Tangent,CB_TG_004_4.035,4.035,,,,,4.261,226,,Tangent,,,0
TUL,8,ML4,,Curve,CB_CV_004_4.262,4.262,-,-,-,-,4.312,50,-600,Sharp Curve,LH,0,0
Main Line,9,,,Tangent,CB_TG_005_4.299,4.299,,,,,4.50611,207.11,,Tangent,,,0
CB,10,ML5,Port Loop,Curve,CB_CV_005_4.506,4.50611,4506,4561,5444,5499,5.498787,992.677,-1000,Sharp Curve,LH,20,0.0009191919192
CB,11,,,Tangent,CB_TG_006_5.499,5.498787,,,,,8.411413,2912.626,,Tangent,,,0.001874914089
CB,12,ML6,Port Loop,Curve,CB_CV_006_8.411,8.411413,8411,8466,9083,9138,9.13846,727.047,4000,Tangent,RH,15,0.0006
CB,13,,,Tangent,CB_TG_007_9.138,9.13846,,,,,12.49621,3357.75,,Tangent,,,0.0011
CB,14,ML7,Port Loop,Curve,CB_CV_007_12.496,12.49621,12496,12551,13909,13964,13.963659,1468,4000,Tangent,RH,15,0.002736986301
CB,15,,,Tangent,CB_TG_008_13.963,13.963659,,,,,16.741416,2777.757,,Tangent,,,0.001771942446
CB,16,ML8,ML,Curve,CB_CV_008_16.741,16.741416,16741.424,16796.424,16837.357,16892.357,16.892195,150.779,-5000,Tangent,LH,10,0.0003
CB,17,,,Tangent,CB_TG_009_16.892,16.892195,,,,,26.902505,10010.31,,Tangent,,,0.001247052947
CB,18,ML9,ML,Curve,CB_CV_009_26.903,26.902505,26903.659,26958.659,27370.403,27425.403,27.424501,521.996,-5000,Tangent,LH,10,0.0017
CB,19,,,Tangent,CB_TG_010_27.424,27.424501,,,,,30.779779,3355.278,,Tangent,,,0.002017857143
CB,20,ML10,ML,Curve,CB_CV_010_30.780,30.779779,30780,30835,31076,31131,31.13119,351.411,-5000,Tangent,LH,10,0.002102857143
CB,21,,,Tangent,CB_TG_011_31.131,31.13119,,,,,33.179911,2048.721,,Tangent,,,0.001996097561
CB,22,ML11,ML,Curve,CB_CV_011_33.180,33.179911,33180,33235,33458,33513,33.51303,333.119,-5000,Tangent,LH,10,0.0019
CB,23,,,Tangent,CB_TG_012_33.513,33.51303,,,,,35.743404,2230.374,,Tangent,,,0.0019
CB,24,ML12,ML,Curve,CB_CV_012_35.743,35.743404,35743.405,35798.405,35841,35896,35.895911,152.507,-5000,Tangent,LH,10,0.0013375
CB,25,,,Tangent,CB_TG_013_35.895,35.895911,,,,,39.969661,4073.75,,Tangent,,,0.001757002457
CB,26,ML13,ML,Curve,CB_CV_013_39.970,39.969661,39970,40025,40469,40524,40.524482,554.821,-5000,Tangent,LH,10,0.0009618181818
CB,27,,,Tangent,CB_TG_014_40.524,40.524482,,,,,41.827788,1303.306,,Tangent,,,0
CB,28,ML14,ML,Curve,CB_CV_014_41.828,41.827788,41828,41883,41949,42004,42.004307,176.519,-5000,Tangent,LH,10,0
CB,29,,,Tangent,CB_TG_015_42.004,42.004307,,,,,43.954474,1950.167,,Tangent,,,0.0006025641026
CB,30,ML15,ML,Curve,CB_CV_015_43.954,43.954474,43954,44009,44661,44716,44.715637,761.163,-5000,Tangent,LH,10,0.0019
CB,31,,,Tangent,CB_TG_016_44.716,44.715637,,,,,45.658933,943.296,,Tangent,,,0.001712765957
CB,32,ML16,ML,Curve,CB_CV_016_45.659,45.658933,45659,45714,47378,47433,47.43251,1773.577,-3000,Mild Curve,LH,20,0.0007028248588
CB,33,,,Tangent,CB_TG_017_47.433,47.43251,,,,,51.591491,4158.981,,Tangent,,,0.001760336538
CB,34,ML17,ML,Curve,CB_CV_017_51.591,51.591491,51591,51646,54083,54138,54.137725,2546.234,2000,Mild Curve,RH,30,0.001781568627
CB,35,,,Tangent,CB_TG_018_54.138,54.137725,,,,,57.717517,3579.792,,Tangent,,,0.003837430168
CB,36,ML18,ML,Curve,CB_CV_018_57.718,57.717517,57718,57773,59866,59921,59.920787,2203.27,-5000,Tangent,LH,10,0.00222
CB,37,,,Tangent,CB_TG_019_59.921,59.920787,,,,,61.035451,1114.664,,Tangent,,,0.003089285714
CB,38,ML19,ML,Curve,CB_CV_019_61.035,61.035451,61035,61090,61227,61282,61.281956,246.505,5000,Tangent,RH,10,0.004
CB,39,,,Tangent,CB_TG_020_61.281,61.281956,,,,,65.991703,4709.747,,Tangent,,,0.003947133758
CB,40,ML20,ML,Curve,CB_CV_020_65.992,65.991703,65992,66047,66652,66707,66.707146,715.443,-5000,Tangent,LH,10,0.0019
CB,41,,,Tangent,CB_TG_021_66.707,66.707146,,,,,75.019229,8312.083,,Tangent,,,7.18E-05
CB,42,ML21,ML,Curve,CB_CV_021_75.019,75.019229,75019,75074,75888,75943,75.942792,923.563,4000,Tangent,RH,15,0.0023
CB,43,,,Tangent,CB_TG_022_75.943,75.942792,,,,,77.329357,1386.565,,Tangent,,,9.93E-05
CB,44,ML22,ML,Curve,CB_CV_022_77.329,77.329357,77329,77384,77884,77939,77.939476,610.119,-10000,Tangent,LH,0,0
CB,45,,,Tangent,CB_TG_023_77.939,77.939476,,,,,80.252621,2313.145,,Tangent,,,0.002435064935
CB,46,ML23,ML,Curve,CB_CV_023_80.253,80.252621,80253,80308,81229,81284,81.284209,1031.588,4000,Tangent,RH,15,0.0025
CB,47,,,Tangent,CB_TG_024_81.284,81.284209,,,,,82.859421,1575.212,,Tangent,,,0.000664556962
CB,48,ML24,ML,Curve,CB_CV_024_82.859,82.859421,82859,82914,84762,84817,84.817227,1957.806,-2500,Mild Curve,LH,25,0
CB,49,,,Tangent,CB_TG_025_84.817,84.817227,,,,,86.055517,1238.29,,Tangent,,,0.001277419355
CB,50,ML25,ML,Curve,CB_CV_025_86.056,86.055517,86056,86111,86437,86492,86.491826,436.309,3000,Mild Curve,RH,20,0.0024
CB,51,,,Tangent,CB_TG_026_86.492,86.491826,,,,,91.729243,5237.417,,Tangent,,,0.002054198473
CB,52,ML26,ML,Curve,CB_CV_026_91.729,91.729243,91729,91784,92929,92984,92.984292,1255.049,5000,Tangent,RH,10,0.00236
CB,53,,,Tangent,CB_TG_027_92.984,92.984292,,,,,96.781853,3797.561,,Tangent,,,0.004235789474
CB,54,ML27,ML,Curve,CB_CV_027_96.782,96.781853,96782,96837,97631,97686,97.686442,904.589,-3000,Mild Curve,LH,20,0.0027
CB,55,,,Tangent,CB_TG_028_97.686,97.686442,,,,,99.338725,1652.283,,Tangent,,,0.003649090909
CB,56,ML28,ML,Curve,CB_CV_028_99.339,99.338725,99339,99394,100910,100965,100.964859,1626.134,5000,Tangent,RH,10,0.004079012346
CB,57,,,Tangent,CB_TG_029_100.965,100.964859,,,,,101.541684,576.825,,Tangent,,,0.0012
CB,58,ML29,ML,Curve,CB_CV_029_101.542,101.541684,101542,101597,101962,102017,102.017135,475.451,3000,Mild Curve,RH,20,0.001841666667
CB,59,,,Tangent,CB_TG_030_102.017,102.017135,,,,,102.522258,505.123,,Tangent,,,0.0026
CB,60,ML30,ML,Curve,CB_CV_030_102.522,102.522258,102522,102577,102837,102892,102.89211,369.852,-1000,Sharp Curve,LH,65,0.0026
CB,61,,,Tangent,CB_TG_031_102.892,102.89211,,,,,103.188954,296.844,,Tangent,,,0.001333333333
CB,62,ML31,ML,Curve,CB_CV_031_103.189,103.188954,103189,103244,103470,103525,103.524591,335.637,-5000,Tangent,LH,10,0.0006
CB,63,,,Tangent,CB_TG_032_103.524,103.524591,,,,,104.860439,1335.848,,Tangent,,,0.0006
CB,64,ML32,ML,Curve,CB_CV_032_104.86,104.860439,104860,104915,105166,105221,105.221238,360.799,3000,Mild Curve,RH,20,0.0005388888889
CB,65,,,Tangent,CB_TG_033_105.221,105.221238,,,,,106.062192,840.954,,Tangent,,,0.0005
CB,66,ML33,ML,Curve,CB_CV_033_106.062,106.062192,106062,106117,106504,106559,106.558685,496.493,-3000,Mild Curve,LH,20,0.0005
CB,67,,,Tangent,CB_TG_034_106.559,106.558685,,,,,106.966316,407.631,,Tangent,,,0.0005
CB,68,ML34,ML,Curve,CB_CV_034_106.966,106.966316,106966,107021,107317,107372,107.372118,405.802,3000,Mild Curve,RH,20,0.0005
CB,69,,,Tangent,CB_TG_035_107.372,107.372118,,,,,108.419655,1047.537,,Tangent,,,0.003701904762
CB,70,ML35,ML,Curve,CB_CV_035_108.420,108.419655,108420,108475,108579,108634,108.633838,214.183,-3000,Mild Curve,LH,20,0.0046
CB,71,,,Tangent,CB_TG_036_108.634,108.633838,,,,,110.587731,1953.893,,Tangent,,,0.003181632653
CB,72,ML36,ML,Curve,CB_CV_036_110.588,110.587731,110588,110643,110972,111027,111.026956,439.225,10000,Tangent,RH,0,0.001427272727
CB,73,,,Tangent,CB_TG_037_111.027,111.026956,,,,,111.801981,775.025,,Tangent,,,0.0014
CB,74,ML37,ML,Curve,CB_CV_037_111.802,111.801981,111802,111857,112320,112375,112.374565,572.584,-10000,Tangent,LH,0,0.0014
CB,75,,,Tangent,CB_TG_038_112.375,112.374565,,,,,113.140564,765.999,,Tangent,,,0.0014
CB,76,ML38,ML,Curve,CB_CV_038_113.141,113.140564,113141,113196,113298,113353,113.352752,212.188,5000,Tangent,RH,10,0.0014
CB,77,,,Tangent,CB_TG_039_113.353,113.352752,,,,,115.237139,1884.387,,Tangent,,,0.001675132275
CB,78,ML39,ML,Curve,CB_CV_039_115.237,115.237139,115237,115292,115456,115511,115.511409,274.27,-3000,Mild Curve,LH,20,0.0019
CB,79,,,Tangent,CB_TG_040_115.511,115.511409,,,,,116.637185,1125.776,,Tangent,,,0.002149557522
CB,80,ML40,ML,Curve,CB_CV_040_116.637,116.637185,116637,116692,117198,117253,117.252714,615.529,3000,Mild Curve,RH,20,0.005068852459
CB,81,,,Tangent,CB_TG_041_117.253,117.252714,,,,,117.803052,550.338,,Tangent,,,0.0092
CB,82,ML41,ML,Curve,CB_CV_041_117.803,117.803052,117803,117858,118101,118156,118.15599,352.938,-3000,Mild Curve,LH,20,0.0092
CB,83,,,Tangent,CB_TG_042_118.156,118.15599,,,,,118.357673,201.683,,Tangent,,,0.0092
CB,84,ML42,ML,Curve,CB_CV_042_118.358,118.357673,118358,118413,119154,119209,119.209457,851.784,4000,Tangent,RH,15,0.006927058824
CB,85,,,Tangent,CB_TG_043_119.209,119.209457,,,,,119.69018,480.723,,Tangent,,,0
CB,86,ML43,ML,Curve,CB_CV_043_119.69,119.69018,119690,119745,119886,119941,119.941168,250.988,-6000,Tangent,LH,10,0
CB,87,,,Tangent,CB_TG_044_119.941,119.941168,,,,,120.629456,688.288,,Tangent,,,0
CB,88,ML44,ML,Curve,CB_CV_044_120.629,120.629456,120629,120684,120804,120859,120.858765,229.309,-10000,Tangent,LH,0,0
CB,89,,,Tangent,CB_TG_045_120.859,120.858765,,,,,121.51618,657.415,,Tangent,,,0.00196969697
CB,90,ML45,ML,Curve,CB_CV_045_121.516,121.51618,121516,121571,121646,121701,121.700863,184.683,5000,Tangent,RH,10,0.0025
CB,91,,,Tangent,CB_TG_046_121.701,121.700863,,,,,122.07631,375.447,,Tangent,,,0.0025
CB,92,ML46,ML,Curve,CB_CV_046_122.076,122.07631,122076,122131,122177,122232,122.231791,155.481,-4000,Tangent,LH,15,0.0025
CB,93,,,Tangent,CB_TG_047_122.232,122.231791,,,,,123.716588,1484.797,,Tangent,,,0.003920134228
CB,94,ML47,ML,Curve,CB_CV_047_123.717,123.716588,123717,123772,123867,123922,123.922028,205.44,4000,Tangent,RH,15,0.0048
CB,95,,,Tangent,CB_TG_048_123.922,123.922028,,,,,125.338411,1416.383,,Tangent,,,0.0048
CB,96,ML48,ML,Curve,CB_CV_048_125.338,125.338411,125338,125393,125638,125693,125.692985,354.574,20000,Tangent,RH,0,0.003591428571
CB,97,,,Tangent,CB_TG_049_125.693,125.692985,,,,,128.223964,2530.979,,Tangent,,,0.002354545455
CB,98,ML49,ML,Curve,CB_CV_049_128.224,128.223964,128224,128279,128770,128825,128.82549,601.526,-4000,Tangent,LH,15,0.004957377049
CB,99,,,Tangent,CB_TG_050_128.825,128.82549,,,,,129.288871,463.381,,Tangent,,,0
CB,100,ML50,ML,Curve,CB_CV_050_129.289,129.288871,129289,129344,129569,129624,129.623606,334.735,4000,Tangent,RH,15,0
CB,101,,,Tangent,CB_TG_051_129.624,129.623606,,,,,131.679645,2056.039,,Tangent,,,0.001741747573
CB,102,ML51,ML,Curve,CB_CV_051_131.680,131.679645,131680,131735,132074,132129,132.128788,449.143,4000,Tangent,RH,15,0.0026
CB,103,,,Tangent,CB_TG_052_132.129,132.128788,,,,,136.511624,4382.836,,Tangent,,,-0.0001952054795
CB,104,ML52,ML,Curve,CB_CV_052_136.512,136.511624,136512,136567,139398,139453,139.45307,2941.446,-4380,Tangent,LH,10,0.004716666667
CB,105,,,Tangent,CB_TG_053_139.453,139.45307,,,,,139.682355,229.285,,Tangent,,,0.0002434782609
CB,106,ML53,ML,Curve,CB_CV_053_139.682,139.682355,139682,139737,144241,144296,144.295651,4613.296,3000,Mild Curve,RH,15,-0.001289177489
CB,107,,,Tangent,CB_TG_054_144.296,144.295651,,,,,145.926978,1631.327,,Tangent,,,-0.001463803681
CB,108,ML54,ML,Curve,CB_CV_054_145.927,145.926978,145927,145982,146744,146799,146.798957,871.979,-3000,Mild Curve,LH,15,-0.0022
CB,109,,,Tangent,CB_TG_055_146.799,146.798957,,,,,147.177545,378.588,,Tangent,,,-0.0022
CB,110,ML55,ML,Curve,CB_CV_055_147.178,147.177545,147178,147233,147682,147737,147.737197,559.652,-4000,Tangent,LH,15,-0.0022
CB,111,,,Tangent,CB_TG_056_147.737,147.737197,,,,,148.782616,1045.419,,Tangent,,,-0.0022
CB,112,ML56,ML,Curve,CB_CV_056_148.783,148.782616,148783,148838,150163,150218,150.217576,1434.96,-4000,Tangent,LH,15,-0.001441666667
CB,113,,,Tangent,CB_TG_057_150.218,150.217576,,,,,151.008531,790.955,,Tangent,,,0.0004
CB,114,ML57,ML,Curve,CB_CV_057_151.009,151.008531,151009,151064,151788,151843,151.843105,834.574,4000,Tangent,RH,15,0.0004
CB,115,,,Tangent,CB_TG_058_151.843,151.843105,,,,,153.631023,1787.918,,Tangent,,,0.0001251396648
CB,116,ML58,ML,Curve,CB_CV_058_153.631,153.631023,153631,153686,155131,155186,155.186113,1555.09,4000,Tangent,RH,15,0
CB,117,,,Tangent,CB_TG_059_155.186,155.186113,,,,,157.877587,2691.474,,Tangent,,,-0.0005308550186
CB,118,ML59,ML,Curve,CB_CV_059_157.878,157.877587,157878,157933,158175,158230,158.229668,352.081,-5000,Tangent,LH,10,-0.0006
CB,119,,,Tangent,CB_TG_060_158.230,158.229668,,,,,158.960013,730.345,,Tangent,,,0.002564383562
CB,120,ML60,ML,Curve,CB_CV_060_158.960,158.960013,158960,159015,159482,159537,159.537432,577.419,-4000,Tangent,LH,15,0.0029
CB,121,,,Tangent,CB_TG_061_159.537,159.537432,,,,,160.321738,784.306,,Tangent,,,0.0029
CB,122,ML61,ML,Curve,CB_CV_061_160.322,160.321738,160322,160377,161585,161640,161.639806,1318.068,-4000,Tangent,LH,15,0.0009606060606
CB,123,,,Tangent,CB_TG_062_161.640,161.639806,,,,,162.311284,671.478,,Tangent,,,-0.0011
CB,124,ML62,ML,Curve,CB_CV_062_162.311,162.311284,162311,162366,162918,162973,162.973086,661.802,-2000,Mild Curve,LH,30,-0.0011
CB,125,,,Tangent,CB_TG_063_162.973,162.973086,,,,,163.299907,326.821,,Tangent,,,-0.0011
CB,126,ML63,ML,Curve,CB_CV_063_163.300,163.299907,163300,163355,163561,163616,163.616448,316.541,-2000,Mild Curve,LH,30,-0.0011
CB,127,,,Tangent,CB_TG_064_163.616,163.616448,,,,,167.076232,3459.784,,Tangent,,,0.003782080925
CB,128,ML64,ML,Curve,CB_CV_064_167.076,167.076232,167076,167131,167333,167388,167.387582,311.35,-4000,Tangent,LH,15,0.004419354839
CB,129,,,Tangent,CB_TG_065_167.388,167.387582,,,,,170.299146,2911.564,,Tangent,,,0.001197938144
CB,130,ML65,ML,Curve,CB_CV_065_170.299,170.299146,170299,170354,171265,171320,171.3203,1021.154,-10000,Tangent,LH,0,0.002049019608
CB,131,,,Tangent,CB_TG_066_171.320,171.3203,,,,,173.159304,1839.004,,Tangent,,,0.003313043478
CB,132,ML66,ML,Curve,CB_CV_066_173.159,173.159304,173159,173214,173296,173351,173.350732,191.428,-4000,Tangent,LH,15,0.0036
CB,133,,,Tangent,CB_TG_067_173.351,173.350732,,,,,175.412472,2061.74,,Tangent,,,0.0036
CB,134,ML67,ML,Curve,CB_CV_067_175.412,175.412472,175412,175467,178454,178509,178.508965,3096.493,4900,Tangent,RH,10,0.002976774194
CB,135,,,Tangent,CB_TG_068_178.509,178.508965,,,,,178.79372,284.755,,Tangent,,,0.0024
CB,136,ML68,ML,Curve,CB_CV_068_178.794,178.79372,178794,178849,180040,180095,180.095081,1301.361,-3700,Tangent,LH,15,0.005697709924
CB,137,,,Tangent,CB_TG_069_180.095,180.095081,,,,,180.724553,629.472,,Tangent,,,0.0072
CB,138,ML69,ML,Curve,CB_CV_069_180.725,180.724553,180725,180780,180926,180981,180.981237,256.684,-5000,Tangent,LH,10,0.0072
CB,139,,,Tangent,CB_TG_070_180.981,180.981237,,,,,182.096219,1114.982,,Tangent,,,0.0056375
CB,140,ML70,ML,Curve,CB_CV_070_182.096,182.096219,182096,182151,183059,183114,183.113681,1017.462,-2000,Mild Curve,LH,30,0.0037
CB,141,,,Tangent,CB_TG_071_183.114,183.113681,,,,,183.868217,754.536,,Tangent,,,0.0037
CB,142,ML71,ML,Curve,CB_CV_071_183.868,183.868217,183868,183923,184348,184403,184.403406,535.189,3000,Mild Curve,RH,20,0.0037
CB,143,,,Tangent,CB_TG_072_184.403,184.403406,,,,,187.169353,2765.947,,Tangent,,,0.003292418773
CB,144,ML72,ML,Curve,CB_CV_072_187.169,187.169353,187169,187224,187258,187313,187.31258,143.227,3000,Mild Curve,RH,20,0.006
CB,145,,,Tangent,CB_TG_073_187.313,187.31258,,,,,188.429887,1117.307,,Tangent,,,0.005671428571
CB,146,ML73,ML,Curve,CB_CV_073_188.430,188.429887,188430,188485,189078,189133,189.132849,702.962,-2000,Mild Curve,LH,30,0.0044
CB,147,,,Tangent,CB_TG_074_189.133,189.132849,,,,,190.305097,1172.248,,Tangent,,,0.0044
CB,148,ML74,ML,Curve,CB_CV_074_190.305,190.305097,190305,190360,190702,190757,190.757185,452.088,-1200,Mild Curve,LH,55,0.0044
CB,149,,,Tangent,CB_TG_075_190.757,190.757185,,,,,191.901388,1144.203,,Tangent,,,0.01047894737
CB,150,ML75,ML,Curve,CB_CV_075_191.901,191.901388,191901,191956,192486,192541,192.540672,639.284,-3000,Mild Curve,LH,20,0.0107
CB,151,,,Tangent,CB_TG_076_192.541,192.540672,,,,,193.394133,853.461,,Tangent,,,0.004522352941
CB,152,ML76,ML,Curve,CB_CV_076_193.394,193.394133,193394,193449,195098,195153,195.153365,1759.232,3000,Mild Curve,RH,20,0.0018
CB,153,,,Tangent,CB_TG_077_195.153,195.153365,,,,,197.205793,2052.428,,Tangent,,,0.004859708738
CB,154,ML77,ML,Curve,CB_CV_077_197.206,197.205793,197206,197261,197295,197350,197.349551,143.758,10000,Tangent,RH,0,0.0051
CB,155,,,Tangent,CB_TG_078_197.350,197.349551,,,,,199.715184,2365.633,,Tangent,,,0.007676371308
CB,156,ML78,ML,Curve,CB_CV_078_199.715,199.715184,199715,199770,200194,200249,200.249011,533.827,-2000,Mild Curve,LH,30,0.0094
CB,157,,,Tangent,CB_TG_079_200.249,200.249011,,,,,200.501536,252.525,,Tangent,,,0.0094
CB,158,ML79,ML,Curve,CB_CV_079_200.502,200.501536,200502,200557,201403,201458,201.457564,956.028,2000,Mild Curve,RH,20,-0.00084375
CB,159,,,Tangent,CB_TG_080_201.458,201.457564,,,,,201.810232,352.668,,Tangent,,,-0.0055
CB,160,ML80,ML,Curve,CB_CV_080_201.810,201.810232,201810,201865,202346,202401,202.401319,591.087,-2000,Mild Curve,LH,15,-0.0055
CB,161,,,Tangent,CB_TG_081_202.401,202.401319,,,,,203.147207,745.888,,Tangent,,,-0.0055
CB,162,ML81,ML,Curve,CB_CV_081_203.147,203.147207,203147,203202,203654,203709,203.708814,561.607,-1200,Mild Curve,LH,25,-0.0055
CB,163,,,Tangent,CB_TG_082_203.709,203.708814,,,,,204.58878,879.966,,Tangent,,,-0.0055
CB,164,ML82,ML,Curve,CB_CV_082_204.589,204.58878,204589,204644,204876,204931,204.931324,342.544,1000,Sharp Curve,RH,40,-0.0055
CB,165,,,Tangent,CB_TG_083_204.931,204.931324,,,,,206.810252,1878.928,,Tangent,,,-0.003158510638
CB,166,ML83,ML,Curve,CB_CV_083_206.810,206.810252,206810,206865,207868,207923,207.922605,1112.353,1500,Mild Curve,RH,40,0.0087
CB,167,,,Tangent,CB_TG_084_207.923,207.922605,,,,,209.46457,1541.965,,Tangent,,,0.005427272727
CB,168,ML84,ML,Curve,CB_CV_084_209.465,209.46457,209465,209520,209667,209722,209.721854,257.284,-2000,Mild Curve,LH,15,-0.0053
CB,169,,,Tangent,CB_TG_085_209.722,209.721854,,,,,210.30257,580.716,,Tangent,,,-0.0053
CB,170,ML85,ML,Curve,CB_CV_085_210.303,210.30257,210303,210358,210598,210653,210.65286,350.29,-1000,Sharp Curve,LH,30,-0.0053
CB,171,,,Tangent,CB_TG_086_210.653,210.65286,,,,,211.114179,461.319,,Tangent,,,-0.0053
CB,172,ML86,ML,Curve,CB_CV_086_211.114,211.114179,211114,211169,212047,212102,212.101991,987.812,1000,Sharp Curve,RH,30,-0.0053
CB,173,,,Tangent,CB_TG_087_212.102,212.101991,,,,,213.249371,1147.38,,Tangent,,,-0.005182608696
CB,174,ML87,ML,Curve,CB_CV_087_213.249,213.249371,213249,213304,214436,214491,214.490723,1241.352,-2000,Mild Curve,LH,15,-0.0044
CB,175,,,Tangent,CB_TG_088_214.491,214.490723,,,,,215.920212,1429.489,,Tangent,,,-0.0044
CB,176,ML88,ML,Curve,CB_CV_088_215.920,215.920212,215920,215975,216277,216332,216.332477,412.265,-3000,Mild Curve,LH,10,-0.0044
CB,177,,,Tangent,CB_TG_089_216.332,216.332477,,,,,217.382675,1050.198,,Tangent,,,-0.00232
CB,178,ML89,ML,Curve,CB_CV_089_217.383,217.382675,217383,217438,217603,217658,217.658458,275.783,-5000,Tangent,LH,10,0.0034
CB,179,,,Tangent,CB_TG_090_217.658,217.658458,,,,,218.678882,1020.424,,Tangent,,,0.0034
CB,180,ML90,ML,Curve,CB_CV_090_218.679,218.678882,218679,218734,218887,218942,218.941582,262.7,-10000,Tangent,LH,0,0.0034
CB,181,,,Tangent,CB_TG_091_218.942,218.941582,,,,,220.923217,1981.635,,Tangent,,,-0.0007282828283
CB,182,ML91,ML,Curve,CB_CV_091_220.923,220.923217,220923,220978,221197,221252,221.252281,329.064,2000,Mild Curve,RH,30,-0.0033
CB,183,,,Tangent,CB_TG_092_221.252,221.252281,,,,,224.199043,2946.762,,Tangent,,,-0.0033
CB,184,ML92,ML,Curve,CB_CV_092_224.199,224.199043,224199,224254,224868,224923,224.922662,723.619,-2000,Mild Curve,LH,30,-0.0033
CB,185,,,Tangent,CB_TG_093_224.922,224.922662,,,,,226.438998,1516.336,,Tangent,,,-0.003142105263
CB,186,ML93,ML,Curve,CB_CV_093_226.439,226.438998,226439,226494,227533,227588,227.58816,1149.162,2000,Mild Curve,RH,30,-0.0023
CB,187,,,Tangent,CB_TG_094_227.588,227.58816,,,,,228.944456,1356.296,,Tangent,,,0.001956296296
CB,188,ML94,ML,Curve,CB_CV_094_228.944,228.944456,228944,228999,229234,229289,229.289206,344.75,-2000,Mild Curve,LH,30,0.0146
CB,189,,,Tangent,CB_TG_095_229.289,229.289206,,,,,230.042411,753.205,,Tangent,,,0.0146
CB,190,ML95,ML,Curve,CB_CX_095_230.042,230.042411,230042,230097,230986,231041,231.041213,998.802,2000,Mild Curve,RH,30,0.0146
CB,191,,,Tangent,CB_TG_096_231.041,231.041213,,,,,231.406907,365.694,,Tangent,,,0.0146
CB,192,ML96,ML,Curve,CB_CV_096_231.407,231.406907,231407,231462,231655,231710,231.710038,303.131,-2000,Mild Curve,LH,30,0.0146
CB,193,,,Tangent,CB_TG_097_231.710,231.710038,,,,,234.134338,2424.3,,Tangent,,,0.006823553719
CB,194,ML97,ML,Curve,CB_CV_097_234.134,234.134338,234134,234189,235204,235259,235.259231,1124.893,-3000,Mild Curve,LH,20,-0.0007
CB,195,,,Tangent,CB_TG_098_235.259,235.259231,,,,,237.504537,2245.306,,Tangent,,,0.001505357143
CB,196,ML98,ML,Curve,CB_CV_098_237.505,237.504537,237505,237560,238056,238111,238.111437,606.9,3000,Mild Curve,RH,20,0.0031
CB,197,,,Tangent,CB_TG_099_238.111,238.111437,,,,,239.365639,1254.202,,Tangent,,,-0.0008349206349
CB,198,ML99,ML,Curve,CB_CV_099_239.366,239.365639,239366,239421,239514,239569,239.568836,203.197,-2000,Mild Curve,LH,0,-0.0043
CB,199,,,Tangent,CB_TG_100_239.569,239.568836,,,,,240.704073,1135.237,,Tangent,,,-0.0043
CB,200,ML100,ML,Curve,CB_CV_100_240.704,240.704073,240704,240759,240977,241032,241.031727,327.654,2000,Mild Curve,RH,0,-0.0043
CB,201,,,Tangent,CB_TG_101_241.032,241.031727,,,,,241.635666,603.939,,Tangent,,,-0.003473770492
CB,202,ML101,ML,Curve,CB_CV_101_241.636,241.635666,241636,241691,242323,242378,242.377769,742.103,-1500,Mild Curve,LH,10,-0.0022
CB,203,,,Tangent,CB_TG_102_242.378,242.377769,,,,,244.444483,2066.714,,Tangent,,,-0.0022
CB,204,ML102,ML,Curve,CB_CV_102_244.444,244.444483,244444,244499,245035,245090,245.089783,645.3,-2000,Mild Curve,LH,0,-0.0022
CB,205,,,Tangent,CB_TG_103_245.090,245.089783,,,,,245.302416,212.633,,Tangent,,,-0.0022
CB,206,ML103,ML,Curve,CB_CV_103_245.302,245.302416,245302,245357,246124,246179,246.179009,876.593,-9900,Tangent,LH,0,-0.0006886363636
CB,207,,,Tangent,CB_TG_104_246.179,246.179009,,,,,247.230984,1051.975,,Tangent,,,0.0013
CB,208,ML104,ML,Curve,CB_CV_104_247.231,247.230984,247231,247286,248816,248871,248.870672,1639.688,3800,Tangent,RH,0,0.0003725609756
CB,209,,,Tangent,CB_TG_105_248.871,248.870672,,,,,249.944263,1073.591,,Tangent,,,0
CB,210,ML105,ML,Curve,CB_CV_105_249.944,249.944263,249944,249999,251737,251792,251.792156,1847.893,-2000,Mild Curve,LH,0,0
CC,211,,,Tangent,CC_TG_001_251.792,251.792156,,,,,253.201624,1409.468,,Tangent,,,0
CC,212,ML106,ML,Curve,CC_CV_001_253.202,253.201624,253201.624,253221.624,253248.445,253268.445,253.268445,66.821,-2000,Mild Curve,LH,25,0
