ID,Division,Subdivision,Line Code,Start Location,End Location,Segment ID,Segment Type,Segment Length,Degree of Curve,Curve Direction,Radius of Curve,Curve Elevation,TQI Geometry,Run ID TQI Geometry,L Rail Weight,R Rail Weight,L Low/High Rail,R Low/High Rail,Start Major,Start Minor,End Major,End Minor,Start Latitude,Start Longitude,End Latitude,End Longitude,Asset Name,Report Type
1961,Soloman,Avon,SLW_208.428_209.260,208.428,208.521,41541,TANGENT,92.286099,,,,,68.5605,2024091801,,,,,208,428.361,208,520.647,-22.04368400,118.75019200,-22.04426600,118.74955000,Siding_208.428_209.260,Track Quality Indicator Summary Report
1969,Soloman,Avon,SLW_208.428_209.260,209.167,209.259,41603,TANGENT,92.286099,,,,,69.0270,2024091801,,,,,209,166.654,209,258.941,-22.04851200,118.74525900,-22.04914300,118.74467400,Siding_208.428_209.260,Track Quality Indicator Summary Report
2355,Soloman,Bow,SPE_232.687_236.297,232.687,232.771,41922,TANGENT,84.43526,,,,,69.0555,2024110409,,,,,232,686.847,232,771.282,-22.01880700,118.52945900,-22.01901700,118.52867200,SPE_232.687_232.94,Track Quality Indicator Summary Report
4909,Mainline1,Chapman,MLE_60_86,68.679,68.778,44817,TANGENT,99.569777,,,,,69.1695,2024112103,,,,,68,678.843,68,778.413,-20.94357000,118.68275200,-20.94442600,118.68304300,MLE_68.679_71.266,Track Quality Indicator Summary Report
2763,Soloman,Capel,SPW_259.416_262.854,262.755,262.853,42449,TANGENT,98.21033,,,,,69.3420,2024111703,,,,,262,755.19,262,853.4,-22.11637900,118.26963800,-22.11677400,118.26878500,SPW_259.416_262.854,Track Quality Indicator Summary Report
7560,Mainline2,Morgan,PTE_208.146_239.097,235.742,235.839,47072,TANGENT,96.69351,,,,,69.7650,2024111605,,,,,235,741.914,235,838.607,-22.21588100,119.28679400,-22.21664000,119.28725700,PTE_235.452_235.839,Track Quality Indicator Summary Report
1488,Mainline2,Jones to CCK,UNKNOWN,297.214,297.314,41312,TANGENT,99.872198,,,,,69.8505,2024112001,,,,,296,1214.429,296,1314.301,-22.39875500,119.69454700,-22.39795100,119.69410800,CCL_294.219_297.315,Track Quality Indicator Summary Report
6790,Mainline2,Nunna,MLE_164.295_171,174.477,174.576,46916,TANGENT,99.33714,,,,,69.9480,2024112103,,,,,174,477.029,174,576.366,-21.82213700,118.93087300,-21.82286700,118.93143400,MLE_171_174.577,Track Quality Indicator Summary Report
703,Mainline1,Thomas,UNKNOWN,-2.884,-2.784,40066,TANGENT,99.62263,,,,,70.1025,2024112001,,,,,-3,116.229,-3,215.852,-20.39691000,118.56433500,-20.39610800,118.56476800,PL3_-3.572_4.148,Track Quality Indicator Summary Report
4924,Mainline1,Chapman,MLE_60_86,71.639,71.733,44845,TANGENT,93.20189,,,,,70.3515,2024112103,,,,,71,639.31,71,732.512,-20.96905400,118.69140700,-20.96986700,118.69164500,MLE_71.266_71.732,Track Quality Indicator Summary Report
1971,Soloman,Avon,SPW_191.459_191.711,191.712,191.81,41540,TANGENT,97.384662,,,,,71.3175,2024112103,,,,,191,712.405,191,809.79,-21.94480400,118.85931200,-21.94568300,118.85930300,SPW_191.711_195.023,Track Quality Indicator Summary Report
6672,Mainline1,Gibb,PTE_153.085_156.701,156.603,156.701,46461,TANGENT,97.745498,,,,,71.6475,2024112005,,,,,156,603.119,156,700.865,-21.67861900,118.88844000,-21.67938800,118.88797500,PTE_153.085_156.701,Track Quality Indicator Summary Report
2729,Soloman,Capel,SPW_259.416_262.854,259.416,259.514,42306,TANGENT,98.21033,,,,,72.3780,2024112103,,,,,259,416.056,259,514.267,-22.10405700,118.29918200,-22.10439000,118.29829900,SPW_259.416_262.854,Track Quality Indicator Summary Report
1527,Soloman,Nunna-2,SLB_174.319_181,174.539,174.61,41432,TANGENT,70.990276,,,,,72.8145,2024112103,,,,,174,539.286,174,610.276,-21.82491700,118.93304600,-21.82542300,118.93346700,SLB_174.857_175,Track Quality Indicator Summary Report
