Name,Latitude (Decimal degree),Longitude (Decimal degree),Track,Approx Track location    (km +50m),IRV Channel which measured location,Track Features,Units of data,Recent Hit Rate %,Severity,Recent Max,Recent Average,Getting Worse?,Days S1
3.199,-20.85883333,118.66347222,MAINLINE,59.069,SF Accel East,,g,0.42,3,12.2,9.6,No,No Trend
3.2,-20.85891667,118.66355556,MAINLINE,59.077,SF Accel East,IRJ,g,1,3,19.8,16.4,No,No Trend
3.201,-20.85927778,118.66350000,MAINLINE,59.119,SF Accel West,,g,0.11,3,11.8,3.6,No,No Trend
3.202,-20.88413889,118.66838889,MAINLINE,61.919,SF Accel West,,g,0.16,3,11,8.2,No,No Trend
3.203,-20.88413889,118.66838889,MAINLINE,61.919,SF Accel East,,g,0.16,3,12.4,8.2,No,No Trend
3.204,-20.89841667,118.67119444,MAINLINE,63.527,SF Accel West,,g,0.4,3,14.1,5.8,No,No Trend
3.205,-20.89841667,118.67119444,MAINLINE,63.527,SF Accel East,,g,0.07,3,13,3.5,No,No Trend
3.206,-20.89886111,118.67127778,MAINLINE,63.577,SF Accel West,IRJ,g,0.6,3,16.5,10.2,No,No Trend
3.207,-20.89886111,118.67127778,MAINLINE,63.577,SF Accel East,IRJ,g,0.8,3,20.5,13.6,No,No Trend
3.208,-20.92197222,118.67569444,MAINLINE,66.177,SF Accel East,Crossing,g,0.2,3,11.8,7.1,No,No Trend
3.209,-20.94183333,118.68216667,MAINLINE,68.477,SF Accel East,IRJ,g,0.06,3,11.6,4.4,No,No Trend
3.21,-20.94219444,118.68225000,MAINLINE,68.519,Suspension Travel,"IRJ, POS",mm,0.18,3,4.6,2.4,No,No Trend
3.211,-20.94219444,118.68225000,MAINLINE,68.519,Bounce,"IRJ, POS",mm,0.06,3,4.6,2,No,No Trend
3.212,-20.94225000,118.68230556,MAINLINE,68.527,SF Accel West,IRJ,g,0.31,3,15.7,7.6,No,No Trend
3.213,-20.94225000,118.68230556,MAINLINE,68.527,SF Accel East,IRJ,g,0.44,3,14.3,7.5,No,No Trend
3.214,-20.94263889,118.68238889,MAINLINE,68.569,SF Accel West,"POS, IRJ",g,0.56,3,14.2,9.5,No,No Trend
3.215,-20.94263889,118.68238889,MAINLINE,68.569,SF Accel East,"POS, IRJ",g,0.33,3,14.3,8.8,No,No Trend
3.216,-20.94263889,118.68238889,MAINLINE,68.569,Suspension Travel,"POS, IRJ",mm,0.11,3,4.3,2.3,No,No Trend
3.217,-20.94269444,118.68247222,MAINLINE,68.577,SF Accel West,"POS, IRJ",g,0.19,3,21.5,6.7,No,No Trend
3.218,-20.94269444,118.68247222,MAINLINE,68.577,SF Accel East,"POS, IRJ",g,0.19,3,18.2,6.6,No,No Trend
3.219,-20.94311111,118.68261111,MAINLINE,68.627,SF Accel West,"IRJ, POS",g,0.19,3,21.7,6,No,No Trend
3.22,-20.94350000,118.68269444,MAINLINE,68.669,SF Accel West,IRJ,g,0.17,3,11.4,7.2,No,No Trend
3.221,-20.94350000,118.68269444,MAINLINE,68.669,SF Accel East,IRJ,g,0.39,3,11.5,8.1,No,No Trend
3.222,-20.94391667,118.68283333,MAINLINE,68.719,SF Accel West,,g,0.06,3,11.4,3.2,No,No Trend
3.223,-20.96844444,118.69116667,MAINLINE,71.569,SF Accel West,IRJ,g,0.53,3,12.4,7,No,No Trend
3.224,-20.96844444,118.69116667,MAINLINE,71.569,SF Accel East,IRJ,g,0.32,3,11.3,5.9,No,No Trend
3.225,-20.96888889,118.69133333,MAINLINE,71.619,SF Accel West,"IRJ, POS",g,0.33,3,13.3,7,No,No Trend
3.226,-20.96888889,118.69133333,MAINLINE,71.619,SF Accel East,"IRJ, POS",g,0.57,3,11.9,7.7,No,No Trend
3.227,-20.96894444,118.69138889,MAINLINE,71.627,SF Accel West,POS,g,0.06,3,12.3,5,No,No Trend
3.228,-20.96975000,118.69161111,MAINLINE,71.719,SF Accel West,"IRJ, POS",g,0.24,3,15.1,8.5,No,No Trend
3.229,-20.96975000,118.69161111,MAINLINE,71.719,SF Accel East,"IRJ, POS",g,0.72,3,13.4,9.1,No,No Trend
3.23,-20.96975000,118.69161111,MAINLINE,71.719,Suspension Travel,"IRJ, POS",mm,0.08,3,4.6,1.3,No,No Trend
3.231,-20.97016667,118.69175000,MAINLINE,71.769,SF Accel West,POS,g,0.16,3,15.2,3.9,No,No Trend
3.232,-20.97316667,118.69277778,MAINLINE,72.119,Suspension Travel,,mm,0.12,3,5.3,1.9,No,No Trend
3.233,-20.97361111,118.69291667,MAINLINE,72.169,Suspension Travel,,mm,0.08,3,5.1,1.5,No,No Trend
3.234,-20.99297222,118.69952778,MAINLINE,74.419,SF Accel West,,g,0.04,3,10.2,6.2,No,No Trend
3.235,-20.99297222,118.69952778,MAINLINE,74.419,SF Accel East,,g,0.24,3,13.4,6.4,No,No Trend
3.236,-21.00472222,118.70286111,MAINLINE,75.769,SF Accel West,,g,0.24,3,12.7,7.4,No,No Trend
3.237,-21.00472222,118.70286111,MAINLINE,75.769,SF Accel East,,g,0.28,3,12.4,7.5,No,No Trend
3.238,-21.00652778,118.70305556,MAINLINE,75.969,SF Accel West,IRJ,g,0.08,3,10.5,5.9,No,No Trend
3.239,-21.00652778,118.70305556,MAINLINE,75.969,SF Accel East,IRJ,g,0.12,3,10.6,6.6,No,No Trend
3.24,-21.08344444,118.71105556,MAINLINE,84.619,SF Accel West,,g,0.08,3,13.4,6.6,No,No Trend
3.241,-21.08344444,118.71105556,MAINLINE,84.619,SF Accel East,,g,0.08,3,11.6,6.3,No,No Trend
3.242,-21.11577778,118.73388889,MAINLINE,88.919,SF Accel West,,g,0.88,3,17.1,9.7,No,No Trend
3.243,-21.11577778,118.73388889,MAINLINE,88.919,SF Accel East,,g,0.56,3,15.6,8.1,No,No Trend
3.244,-21.11616667,118.73413889,MAINLINE,88.969,SF Accel West,,g,0.4,3,12.4,6.1,No,No Trend
3.245,-21.11616667,118.73413889,MAINLINE,88.969,SF Accel East,,g,0.6,3,18.9,6.8,No,No Trend
3.246,-21.15338889,118.75441667,MAINLINE,93.619,SF Accel West,"POS, IRJ",g,0.52,3,15.4,8.2,No,No Trend
3.247,-21.15338889,118.75441667,MAINLINE,93.619,SF Accel East,"POS, IRJ",g,0.76,3,18.4,9.4,No,No Trend
3.248,-21.15380556,118.75455556,MAINLINE,93.669,SF Accel West,POS,g,0.48,3,17.8,7.7,No,No Trend
3.249,-21.15380556,118.75455556,MAINLINE,93.669,SF Accel East,POS,g,0.32,3,16.5,7.1,No,No Trend
3.25,-21.15425000,118.75472222,MAINLINE,93.719,SF Accel West,"POS, IRJ",g,0.28,3,14.2,6.2,No,No Trend
3.251,-21.15425000,118.75472222,MAINLINE,93.719,SF Accel East,"POS, IRJ",g,0.12,3,12.6,5.7,No,No Trend
3.252,-21.15544444,118.75516667,MAINLINE,93.861,SF Accel West,,g,0.5,3,13.6,9.3,No,No Trend
3.253,-21.15544444,118.75516667,MAINLINE,93.861,SF Accel East,,g,0.6,3,15.3,10.9,No,No Trend
3.254,-21.15552778,118.75513889,MAINLINE,93.869,SF Accel West,IRJ,g,0.39,3,14.7,7.5,No,No Trend
3.255,-21.15552778,118.75513889,MAINLINE,93.869,SF Accel East,IRJ,g,0.39,3,14.2,7,No,No Trend
3.256,-21.15588889,118.75533333,MAINLINE,93.911,SF Accel West,IRJ,g,0.5,3,15,9.1,No,No Trend
3.257,-21.15597222,118.75527778,MAINLINE,93.919,SF Accel West,IRJ,g,0.35,3,17.3,6.3,No,No Trend
3.258,-21.15597222,118.75527778,MAINLINE,93.919,SF Accel East,IRJ,g,0.48,3,15.6,7.4,No,No Trend
3.259,-21.19197222,118.76988889,MAINLINE,98.211,SF Accel West,IRJ,g,0.35,3,11.5,7.8,No,No Trend
3.26,-21.19197222,118.76988889,MAINLINE,98.211,SF Accel East,IRJ,g,0.55,3,12.8,9.9,No,No Trend
3.261,-21.19205556,118.76988889,MAINLINE,98.219,SF Accel West,,g,0.13,3,12.9,7.8,No,No Trend
3.262,-21.19205556,118.76988889,MAINLINE,98.219,SF Accel East,,g,0.57,3,12.8,10,No,No Trend
3.263,-21.19233333,118.77016667,MAINLINE,98.261,SF Accel West,IRJ,g,0.15,3,15.6,5.2,No,No Trend
3.264,-21.19244444,118.77013889,MAINLINE,98.269,SF Accel West,,g,0.22,3,12.8,5.1,No,No Trend
3.265,-21.20791667,118.78002778,MAINLINE,100.269,Rock,,mm,0.61,3,9.6,7.2,No,No Trend
3.266,-21.20833333,118.78022222,MAINLINE,100.319,Suspension Travel,,mm,0.04,3,4.9,1.2,No,No Trend
3.267,-21.22836111,118.78538889,MAINLINE,102.611,SF Accel West,,g,0.2,3,14.7,8.9,No,No Trend
3.268,-21.22836111,118.78538889,MAINLINE,102.611,SF Accel East,,g,0.3,3,12,9,No,No Trend
3.269,-21.22880556,118.78550000,MAINLINE,102.661,SF Accel West,,g,0.25,3,12.7,9.1,No,No Trend
3.27,-21.22880556,118.78550000,MAINLINE,102.661,SF Accel East,,g,0.1,3,10.2,8,No,No Trend
3.271,-21.22925000,118.78561111,MAINLINE,102.711,SF Accel West,,g,0.3,3,14.7,9.7,No,No Trend
3.272,-21.22925000,118.78561111,MAINLINE,102.711,SF Accel East,,g,0.4,3,12.5,9.3,No,No Trend
3.273,-21.22966667,118.78577778,MAINLINE,102.761,SF Accel West,,g,0.6,3,17.5,10.4,No,No Trend
